,+5% population,+0.5K temperature,+5% precipitation,+5% EVI,+5% LWE thickness,+5% discharge,Model,Hotspot
151,0.7363480994617242,0.6419108306259231,0.6990688357018583,0.6833031015072745,0.6677565927374897,0.6646415425832294,0.6677565927374897,Peru
152,0.7695637039499357,0.6727100320746295,0.7256983318472681,0.7166049595532349,0.701101734014524,0.6982627903440799,0.701101734014524,Peru
153,0.7637156242303458,0.6668033197580816,0.727317914561971,0.7110407567139354,0.6954013468475477,0.6911609059088675,0.6954013468475477,Peru
154,0.7526377304388935,0.6505558016780256,0.7348081274737104,0.7013755306309033,0.684365338273171,0.6823297454117954,0.684365338273171,Peru
155,0.7302022502812537,0.6280675942773581,0.7004737674707918,0.6788091991705951,0.6620667356469099,0.6604355667555235,0.6620667356469099,Peru
156,0.7744018329026823,0.6717578144169425,0.7469264815229475,0.7234510338379705,0.7069119871593146,0.7049264903568542,0.7069119871593146,Peru
157,0.763658284859391,0.6699498497269617,0.7421287821564934,0.7132243408192966,0.6965447228986007,0.6921096191334104,0.6965447228986007,Peru
158,0.7840380332212156,0.6961470964529306,0.7525687924137543,0.7345153097544573,0.7177537695367209,0.7118910805391518,0.7177537695367209,Peru
159,0.787910153182,0.7074075127040209,0.7472538586763413,0.7372738156389373,0.7221247857551192,0.7175890645331113,0.7221247857551192,Peru
160,0.7798128345094175,0.7055778028304078,0.7321405618838659,0.7255596917780557,0.7143732127674368,0.7093206469052711,0.7143732127674368,Peru
161,0.750152579863694,0.6782953229591131,0.6990487562730626,0.6948506925449185,0.6849503283779792,0.6805943121312296,0.6849503283779792,Peru
162,0.7290708984329889,0.6576162939223671,0.6798437063176974,0.6740107523807418,0.6640261276349229,0.6611667410566532,0.6640261276349229,Peru
163,0.73878292469962,0.6694904750292834,0.6926193824814086,0.6866693528455247,0.6738813799267747,0.6692276934969964,0.6738813799267747,Peru
164,0.7683324112330017,0.7001030661555362,0.7194169691089017,0.7179609712464472,0.703535834811523,0.6986830975635036,0.703535834811523,Peru
165,0.7961262280034835,0.7271099388175952,0.7467250772436763,0.747247654333946,0.7314399212324314,0.7270476040404616,0.7314399212324314,Peru
166,0.7261857570495289,0.6590860268543264,0.6921246476084969,0.6731208103605939,0.6616094598155842,0.6570062258886831,0.6616094598155842,Peru
167,0.7554340205742384,0.688115912739681,0.7166095018790475,0.7007515299864528,0.6908972691993553,0.6867252582210551,0.6908972691993553,Peru
168,0.7259709776002989,0.6594111160576909,0.6989261329508668,0.6734813689757305,0.6614689543112812,0.6575761010013002,0.6614689543112812,Peru
169,0.7391167096588561,0.672343399193224,0.7109420678694813,0.68253412662616,0.6746349579423383,0.6711438257372674,0.6746349579423383,Peru
170,0.6685291608084595,0.6000401193871499,0.6297456397812005,0.6175417961150979,0.6040823408679787,0.6001589794259722,0.6040823408679787,Peru
171,0.6583324672951959,0.5898111465435067,0.6122071660922549,0.6114222406432719,0.5939068093198412,0.5902607317915028,0.5939068093198412,Peru
172,0.6623939980463085,0.5903880329119007,0.6111761220349823,0.6157513319990457,0.5980030190654055,0.59240675439647,0.5980030190654055,Peru
173,0.6723362637109639,0.5993039392139216,0.6207723345612057,0.6266532841717523,0.6079772600466992,0.602585140389697,0.6079772600466992,Peru
174,0.7086243391001275,0.6360582912926784,0.6621592006787901,0.661941543215194,0.6442859382855993,0.6407419753734369,0.6442859382855993,Peru
175,0.7119459307268879,0.638911257399085,0.6697630291852643,0.664506609590896,0.6476407192108089,0.6452519388046706,0.6476407192108089,Peru
176,0.6641653808851743,0.5891264820311172,0.61722582938049,0.61654422772566,0.5998822513905753,0.5960784063466769,0.5998822513905753,Peru
177,0.6982749147348745,0.6227421048936539,0.6475200846497963,0.6484447534093518,0.634025064886623,0.6307349952226036,0.634025064886623,Peru
178,0.804823010908287,0.726016051810912,0.7507445740211245,0.7525799384694636,0.7408519241325635,0.7380068632900176,0.7408519241325635,Peru
179,0.884972491575545,0.8022335900030004,0.8284312300924404,0.8342481192845758,0.8222691740954585,0.8210945434280441,0.8222691740954585,Peru
180,0.968377443342307,0.8838125558569759,0.9111237389903448,0.9150014231207506,0.9075182695315112,0.9070129699989622,0.9075182695315112,Peru
181,1.023989776449536,0.9357047391891425,0.9701359134725649,0.9701710762007555,0.9653106465388305,0.9654980080104301,0.9653106465388305,Peru
