,-10% population,-1K temperature,-10% precipitation,-10% EVI,-10% LWE thickness,-10% discharge,Model,Hotspot
20,0.30406297364311663,0.3237102924725582,0.10925587456961493,0.425801045111447,0.2983203492254328,0.3113190673768889,0.3123023565664741,USHighPlain
21,0.3650408874927198,0.3858180461570433,0.17533680524188508,0.49041272971024247,0.36100482002339873,0.3728792833513299,0.3738863117143244,USHighPlain
22,0.45543988420729997,0.4765483729928215,0.26849303575153494,0.5753769439006536,0.45303307696188566,0.4638438667302028,0.4649006739482159,USHighPlain
23,0.47423355175389703,0.49659339201035324,0.2754144282730929,0.5934138132302805,0.4733847919880726,0.4833458958053174,0.48431829733118187,USHighPlain
24,0.39003549880244853,0.41377659728041666,0.1865143456307988,0.5192223042523483,0.3906791788855046,0.3996714238688102,0.4007521143943101,USHighPlain
25,0.3936870287043057,0.4183705190093928,0.19211584152055597,0.5268218321806022,0.39576270494391463,0.4038770543368282,0.40504280556859695,USHighPlain
26,0.5243965702341494,0.5491402689863188,0.31998843304890295,0.6517021502306481,0.5278485564257847,0.5352269768415475,0.5363982257380664,USHighPlain
27,0.5210741990418296,0.5459328360980583,0.32145146269063873,0.6619309356263103,0.5258511920096729,0.532595392240739,0.5337279218325109,USHighPlain
28,0.4924458061852772,0.5174846509919729,0.2851260448936102,0.6464445340403268,0.4985005407965831,0.5046400147612625,0.5057572978050514,USHighPlain
29,0.5009740880370893,0.5274456847275923,0.27500673853466184,0.6570209654831491,0.5082630193701683,0.5138953210155983,0.5149486012632106,USHighPlain
30,0.537299796132828,0.5652215834379165,0.3126322046392724,0.6989547314290903,0.5457828066614016,0.5508785443151771,0.5519421702995139,USHighPlain
31,0.5397308385705871,0.5686188612044892,0.3316080464747104,0.7025898256609064,0.5493709683954929,0.5540545040916647,0.555045532110879,USHighPlain
32,0.512639083535432,0.5424815021823569,0.31802064875842684,0.6772808018803418,0.5234022818496331,0.5276821394424854,0.5286302039617046,USHighPlain
33,0.5795164049903365,0.6100392460852594,0.3883419586944673,0.7408373650042039,0.5913713011059755,0.5953307408197892,0.596187736515059,USHighPlain
34,0.575818466109946,0.6066580454186384,0.3815274579579902,0.738710252521444,0.5887361585077261,0.592393082485333,0.5931734950924292,USHighPlain
35,0.5209386102356108,0.5522510239163372,0.3212150424426046,0.6884579989244228,0.5348924722179775,0.5381855157855926,0.538980548625856,USHighPlain
36,0.4275980993591665,0.4602158421789033,0.22211173822760633,0.5973891959107076,0.4425636000004136,0.44540697059950957,0.44632990629646185,USHighPlain
37,0.43059191773671834,0.46432532137335086,0.2202638476900394,0.6127163122875185,0.44654645692600725,0.44904605363532774,0.4500163194482232,USHighPlain
38,0.45214120400046354,0.48675123832529343,0.23271956965885154,0.6458102381080361,0.46906396046850996,0.47138521222148533,0.472260712133586,USHighPlain
39,0.4835529355999558,0.5194414196605748,0.25730163405338935,0.6765057001734608,0.5014247269074479,0.5033742339248364,0.5043698641118003,USHighPlain
40,0.47927859637980236,0.5161354699879546,0.25876146042869397,0.6699625417854315,0.498081749926048,0.499829294272542,0.5007950770972578,USHighPlain
41,0.40199836424708446,0.439586849578146,0.189580619225475,0.5897345922911982,0.421716598431494,0.42321645330211727,0.42421636120218775,USHighPlain
42,0.3832660431640707,0.4220509216708936,0.17539608633896087,0.5650214526086815,0.4038843579013491,0.40518870986298633,0.4061873658010416,USHighPlain
43,0.34243085986476196,0.38193454957650325,0.1451700341723952,0.5250090604671631,0.3639354357175868,0.3650107696966566,0.3660571752075201,USHighPlain
44,0.2937661870584436,0.33367928209751985,0.1089248833504984,0.47671551761634,0.31614429230935104,0.31703953334989915,0.31809903092042735,USHighPlain
45,0.22175246877724408,0.26122660768578776,0.049568274212907486,0.4012906158479944,0.24499237381483277,0.2456941441962389,0.24679325608891092,USHighPlain
46,0.22063122078592673,0.2614507759205166,0.05777612716032772,0.4004950756302097,0.2447221192296736,0.24521082619403672,0.24638125510938239,USHighPlain
47,0.2504732714552395,0.29184467867226815,0.08773050586574986,0.42603533410888955,0.27540520748853525,0.27568686254974195,0.27693375374997603,USHighPlain
48,0.1664205868207055,0.20781429974943677,0.00796179879992783,0.34265954079111577,0.19218438824346473,0.19229513277959087,0.19359262351939321,USHighPlain
49,0.08546715747489841,0.12778879027158185,-0.062206335236892445,0.2553475338496587,0.11205437402555948,0.11208629736228201,0.11335176792353682,USHighPlain
50,0.05829360642522724,0.1018433158799216,-0.09368549424594971,0.2191750101401256,0.08569645295739182,0.08566868131296482,0.08689172973768625,USHighPlain
