time,Population,hotspot
May 2007,35847754.28486498,California
June 2007,35916638.92017309,California
July 2007,35734994.15651682,California
August 2007,35943025.17486496,California
September 2007,36030705.073156126,California
October 2007,36172402.51364975,California
November 2007,36000109.28340781,California
December 2007,35999237.48259397,California
January 2008,36060057.13795304,California
February 2008,36233074.92432065,California
March 2008,36201701.56636532,California
April 2008,36144783.49443957,California
May 2008,36279036.532218724,California
June 2008,36266811.02835188,California
July 2008,36383739.56871434,California
August 2008,36244757.39113019,California
September 2008,36312412.90868384,California
October 2008,36334765.78096652,California
November 2008,36256336.551856,California
December 2008,36462996.28590773,California
January 2009,36489857.93251079,California
February 2009,36494401.98102623,California
March 2009,36497644.672833204,California
April 2009,36408741.847623445,California
May 2009,36538673.68002918,California
June 2009,36576952.52833297,California
July 2009,36559941.733172126,California
August 2009,36655112.7627315,California
September 2009,36742639.541930184,California
October 2009,36921819.695538685,California
November 2009,36779281.8718966,California
December 2009,36817089.35041768,California
January 2010,36814488.475837745,California
February 2010,36659080.47522553,California
March 2010,36878225.641243145,California
April 2010,36917934.68476371,California
May 2010,37190683.3752281,California
June 2010,36953303.114479676,California
July 2010,37033154.204582445,California
August 2010,37030122.612170674,California
September 2010,36946489.94785895,California
October 2010,37209992.27679909,California
November 2010,37201440.75077357,California
December 2010,37235337.47742793,California
January 2011,37095031.106573306,California
February 2011,37360161.68439201,California
March 2011,37105234.36822951,California
April 2011,37337680.87215486,California
May 2011,37530199.23275575,California
June 2011,37240294.43645843,California
July 2011,37313649.17374699,California
August 2011,37412442.87354565,California
September 2011,37383007.94414234,California
October 2011,37307688.39416891,California
November 2011,37502802.11884541,California
December 2011,37419027.57392894,California
January 2012,37606253.657959804,California
February 2012,37497539.67151911,California
March 2012,37777016.72388078,California
April 2012,37573306.98313424,California
May 2012,37650910.46511474,California
June 2012,37797688.10616511,California
July 2012,37622126.133859366,California
August 2012,37801514.28174398,California
September 2012,37942644.147740886,California
October 2012,37679151.8674586,California
November 2012,37892266.75411451,California
December 2012,37930874.21305523,California
January 2013,38016164.37196225,California
February 2013,37844738.462957166,California
March 2013,37865703.52208122,California
April 2013,38084413.99390578,California
May 2013,38093186.897398226,California
June 2013,38121042.16915624,California
July 2013,38162240.344590925,California
August 2013,38091077.41502043,California
September 2013,38215807.72244999,California
October 2013,38253455.66490392,California
November 2013,38184217.46800158,California
December 2013,38476418.54500382,California
January 2014,38368998.90324861,California
February 2014,38233975.402354635,California
March 2014,38450692.85923622,California
April 2014,38319094.76093807,California
May 2014,38529256.967261806,California
June 2014,38600018.21053058,California
July 2014,38432181.839289516,California
August 2014,38645668.19106569,California
September 2014,38623258.96974666,California
October 2014,38696764.6293347,California
November 2014,38838580.06118131,California
December 2014,38654283.79918483,California
January 2015,38636690.907581545,California
February 2015,38656742.8128854,California
March 2015,38694692.84763896,California
April 2015,38803103.71551862,California
May 2015,38878046.13428814,California
June 2015,38905303.984579235,California
July 2015,38993607.93102909,California
August 2015,38945113.357861705,California
September 2015,39124437.13508677,California
October 2015,38983511.20779295,California
November 2015,39318871.866302416,California
December 2015,39139923.13532224,California
January 2016,39024464.76660991,California
February 2016,39037236.4263792,California
March 2016,39226340.22979704,California
April 2016,39189379.51827377,California
May 2016,39317360.68202978,California
June 2016,39327401.41486452,California
July 2016,39305485.34811847,California
August 2016,39261650.86213944,California
September 2016,39228517.752155654,California
October 2016,39369722.040529214,California
November 2016,39535737.29232463,California
December 2016,39504097.19684732,California
January 2017,39391691.22492558,California
February 2017,39570157.05170118,California
March 2017,39623291.90751129,California
April 2017,39530150.16736924,California
May 2017,39668953.176248625,California
June 2017,39694398.97375013,California
July 2017,39606995.43551726,California
August 2017,39793730.24513318,California
September 2017,39849338.129326664,California
October 2017,39936073.1486143,California
November 2017,39968214.645181574,California
December 2017,39756501.21984358,California
January 2018,39836697.15130834,California
February 2018,40019249.15813785,California
March 2018,40051416.54726912,California
April 2018,40087297.68623926,California
May 2018,40459140.666143,California
June 2018,40163294.057572916,California
July 2018,40254949.665537655,California
August 2018,40272357.93486387,California
September 2018,40277535.539717145,California
October 2018,40214463.57386055,California
November 2018,40358759.27813043,California
December 2018,40238585.654200725,California
January 2019,40329167.226982705,California
February 2019,40340476.98261314,California
March 2019,40430689.36937689,California
April 2019,40692714.94892202,California
May 2019,40305417.52120999,California
June 2019,40599851.064805,California
July 2019,40402808.42125583,California
August 2019,40554497.26397842,California
September 2019,40748633.24499864,California
October 2019,40680347.61103259,California
November 2019,40601379.332200125,California
December 2019,40673248.74728015,California
December 2000,9438892.396069007,Chile
January 2001,9415415.747316342,Chile
February 2001,9465508.530193346,Chile
March 2001,9519319.800056793,Chile
April 2001,9437740.435154127,Chile
May 2001,9446837.749458628,Chile
June 2001,9550124.524740929,Chile
July 2001,9517190.77072851,Chile
August 2001,9462548.859582596,Chile
September 2001,9524347.13038373,Chile
October 2001,9481358.591919571,Chile
November 2001,9490638.563553732,Chile
December 2001,9536376.137983158,Chile
January 2002,9435057.099769246,Chile
February 2002,9455079.384206768,Chile
March 2002,9524551.033760743,Chile
April 2002,9511493.63887841,Chile
May 2002,9590142.236965718,Chile
June 2002,9537128.246621853,Chile
July 2002,9520957.36006255,Chile
August 2002,9680234.521075478,Chile
September 2002,9602929.864203818,Chile
October 2002,9628054.296752468,Chile
November 2002,9561060.662767723,Chile
December 2002,9616580.471293837,Chile
January 2003,9660942.68635603,Chile
February 2003,9606039.795960885,Chile
March 2003,9694508.784538455,Chile
April 2003,9654391.914108377,Chile
May 2003,9680484.583775342,Chile
June 2003,9674866.965240626,Chile
July 2003,9812020.15120486,Chile
August 2003,9725852.14515539,Chile
September 2003,9682220.909156738,Chile
October 2003,9789668.990185043,Chile
November 2003,9694304.973910691,Chile
December 2003,9778425.675010012,Chile
January 2004,9677279.320743877,Chile
February 2004,9721105.294553425,Chile
March 2004,9810477.851300897,Chile
April 2004,9849650.308663126,Chile
May 2004,9831060.027273877,Chile
June 2004,9827330.169044537,Chile
July 2004,9828499.639804292,Chile
August 2004,9778668.784582198,Chile
September 2004,9829080.276476495,Chile
October 2004,9853272.28618655,Chile
November 2004,9942985.692930339,Chile
December 2004,9916815.186083846,Chile
January 2005,9819665.684746165,Chile
February 2005,9939651.383014336,Chile
March 2005,9913703.826269878,Chile
April 2005,9910517.476231094,Chile
May 2005,9988774.45951343,Chile
June 2005,10022408.928700302,Chile
July 2005,10028785.065926887,Chile
August 2005,9949040.459038937,Chile
September 2005,9988405.539917808,Chile
October 2005,10033105.6560674,Chile
November 2005,10078387.462652322,Chile
December 2005,10014607.796082158,Chile
January 2006,10042022.078098062,Chile
February 2006,10006570.99766415,Chile
March 2006,10012952.902446153,Chile
April 2006,10129173.415998213,Chile
May 2006,10169147.765003875,Chile
June 2006,10107416.777790453,Chile
July 2006,10174926.830808468,Chile
August 2006,10153909.679610964,Chile
September 2006,10114001.775199309,Chile
October 2006,10177937.886472814,Chile
November 2006,10251076.445298847,Chile
December 2006,10181412.190952992,Chile
January 2007,10277256.401521917,Chile
February 2007,10073586.659135995,Chile
March 2007,10263502.740457824,Chile
April 2007,10238434.319040887,Chile
May 2007,10231006.565289794,Chile
June 2007,10264217.869395502,Chile
July 2007,10169119.937670795,Chile
August 2007,10273632.782465342,Chile
September 2007,10316475.175637575,Chile
October 2007,10387064.607263021,Chile
November 2007,10296691.287621683,Chile
December 2007,10294225.233808197,Chile
January 2008,10324306.193337206,Chile
February 2008,10411879.840987438,Chile
March 2008,10394789.112288501,Chile
April 2008,10364538.77775725,Chile
May 2008,10432283.528724253,Chile
June 2008,10424934.60844696,Chile
July 2008,10483801.921635978,Chile
August 2008,10411500.208974307,Chile
September 2008,10445084.008431751,Chile
October 2008,10455488.75508877,Chile
November 2008,10414215.650035102,Chile
December 2008,10519063.11892858,Chile
January 2009,10531794.27116285,Chile
February 2009,10533089.415551597,Chile
March 2009,10533817.71621488,Chile
April 2009,10487228.712100497,Chile
May 2009,10552808.533826118,Chile
June 2009,10571390.100953193,Chile
July 2009,10561673.421904163,Chile
August 2009,10609407.742326342,Chile
September 2009,10653224.987678217,Chile
October 2009,10744040.687630624,Chile
November 2009,10669967.979380231,Chile
December 2009,10688341.339655465,Chile
January 2010,10685822.228554748,Chile
February 2010,10605001.524007643,Chile
March 2010,10716224.569630332,Chile
April 2010,10735385.952704702,Chile
May 2010,10874000.034650566,Chile
June 2010,10751175.01555526,Chile
July 2010,10790944.29966684,Chile
August 2010,10788204.479667036,Chile
September 2010,10744162.970883952,Chile
October 2010,10878039.022217436,Chile
November 2010,10872470.671841485,Chile
December 2010,10888691.971135492,Chile
January 2011,10817989.25037472,Chile
February 2011,10955040.971095005,Chile
March 2011,10825488.587968266,Chile
April 2011,10945792.300054265,Chile
May 2011,11045597.498545257,Chile
June 2011,10898237.390178371,Chile
July 2011,10936980.635418378,Chile
August 2011,10988797.832487486,Chile
September 2011,10974907.976144454,Chile
October 2011,10937467.381668374,Chile
November 2011,11038640.990474043,Chile
December 2011,10996867.87830844,Chile
January 2012,11093814.16200905,Chile
February 2012,11039114.513453433,Chile
March 2012,11183267.126231065,Chile
April 2012,11079889.650103342,Chile
May 2012,11120630.494885424,Chile
June 2012,11196850.14351321,Chile
July 2012,11107863.671311373,Chile
August 2012,11200793.631261133,Chile
September 2012,11274119.240863409,Chile
October 2012,11140075.424769508,Chile
November 2012,11250287.676822478,Chile
December 2012,11271046.137134863,Chile
January 2013,11315908.032358363,Chile
February 2013,11229223.20130836,Chile
March 2013,11241011.550726429,Chile
April 2013,11354240.827568972,Chile
May 2013,11359856.331577849,Chile
June 2013,11375287.379563037,Chile
