time,discharge,hotspot
October 2012,-16.33551,USHighPlain
November 2012,-14.653608,USHighPlain
December 2012,-12.918938,USHighPlain
January 2013,-9.965212,USHighPlain
February 2013,-10.967426,USHighPlain
March 2013,-11.032666,USHighPlain
April 2013,-11.2610035,USHighPlain
May 2013,-9.350142,USHighPlain
June 2013,-13.736551,USHighPlain
July 2013,-13.763039,USHighPlain
August 2013,-3.7055702,USHighPlain
September 2013,-3.8826828,USHighPlain
October 2013,4.636261,USHighPlain
November 2013,0.46969414,USHighPlain
December 2013,-2.1973038,USHighPlain
January 2014,-3.3024645,USHighPlain
February 2014,-3.1538858,USHighPlain
March 2014,-6.9981537,USHighPlain
April 2014,-16.523338,USHighPlain
May 2014,-15.026014,USHighPlain
June 2014,2.710987,USHighPlain
July 2014,-3.5722656,USHighPlain
August 2014,-2.2747421,USHighPlain
September 2014,3.0610638,USHighPlain
October 2014,-2.767805,USHighPlain
November 2014,-6.025442,USHighPlain
December 2014,-3.7976084,USHighPlain
January 2015,-3.1579256,USHighPlain
February 2015,-4.211128,USHighPlain
March 2015,-11.694694,USHighPlain
April 2015,-16.759098,USHighPlain
May 2015,3.9987679,USHighPlain
June 2015,7.19965,USHighPlain
July 2015,7.352623,USHighPlain
August 2015,-1.3125172,USHighPlain
September 2015,-4.131879,USHighPlain
October 2015,-7.2680635,USHighPlain
November 2015,0.4057865,USHighPlain
December 2015,6.5132656,USHighPlain
January 2016,3.1802626,USHighPlain
February 2016,4.700615,USHighPlain
March 2016,-3.2249317,USHighPlain
April 2016,0.9068451,USHighPlain
May 2016,11.371166,USHighPlain
June 2016,-4.0213737,USHighPlain
July 2016,0.70253944,USHighPlain
August 2016,-4.902725,USHighPlain
September 2016,1.5481453,USHighPlain
October 2016,-7.307461,USHighPlain
November 2016,-6.638997,USHighPlain
December 2016,-4.290269,USHighPlain
January 2017,-1.9082127,USHighPlain
February 2017,-4.4141436,USHighPlain
March 2017,-8.589596,USHighPlain
April 2017,-9.100643,USHighPlain
May 2017,0.36460114,USHighPlain
June 2017,-15.28278,USHighPlain
July 2017,-12.946316,USHighPlain
August 2017,0.6015301,USHighPlain
September 2017,-4.8607445,USHighPlain
October 2017,6.881302,USHighPlain
November 2017,-5.4632406,USHighPlain
December 2017,-6.8950853,USHighPlain
January 2018,-4.764642,USHighPlain
February 2018,-6.574705,USHighPlain
March 2018,-8.648889,USHighPlain
April 2018,-11.8889065,USHighPlain
May 2018,-13.202843,USHighPlain
June 2018,-10.207598,USHighPlain
July 2018,-4.881315,USHighPlain
August 2018,-3.3343964,USHighPlain
September 2018,1.7579594,USHighPlain
October 2018,9.503845,USHighPlain
November 2018,3.8806534,USHighPlain
December 2018,9.0614395,USHighPlain
January 2019,6.497123,USHighPlain
February 2019,2.1935883,USHighPlain
March 2019,6.808796,USHighPlain
April 2019,4.870735,USHighPlain
May 2019,17.093727,USHighPlain
June 2019,17.282131,USHighPlain
July 2019,13.904308,USHighPlain
August 2019,12.21048,USHighPlain
September 2019,11.977131,USHighPlain
October 2019,6.666687,USHighPlain
November 2019,3.4967957,USHighPlain
December 2019,6.571871,USHighPlain
January 1980,6.316081,Greece
February 1980,2.0963192,Greece
March 1980,2.9189348,Greece
April 1980,1.8116174,Greece
May 1980,3.6128402,Greece
June 1980,1.4739714,Greece
July 1980,0.49194503,Greece
August 1980,0.8483784,Greece
September 1980,0.09191704,Greece
October 1980,1.915093,Greece
November 1980,0.79285145,Greece
December 1980,4.11889,Greece
January 1981,4.029936,Greece
February 1981,3.544444,Greece
March 1981,2.1035604,Greece
April 1981,0.9003253,Greece
May 1981,0.1630454,Greece
June 1981,-0.50039077,Greece
July 1981,0.023594618,Greece
August 1981,0.48096895,Greece
September 1981,-0.14084339,Greece
October 1981,0.6911664,Greece
November 1981,0.28746414,Greece
December 1981,3.513897,Greece
January 1982,-0.5404296,Greece
February 1982,-0.9830971,Greece
March 1982,0.99645805,Greece
April 1982,2.9759603,Greece
May 1982,1.7306905,Greece
June 1982,0.094990015,Greece
July 1982,0.23931599,Greece
August 1982,0.7158196,Greece
September 1982,-0.110094786,Greece
October 1982,0.36368895,Greece
November 1982,0.9719448,Greece
December 1982,1.4769125,Greece
January 1983,-1.6976724,Greece
February 1983,-1.7807889,Greece
March 1983,-2.918944,Greece
April 1983,-3.2503033,Greece
May 1983,-2.1430938,Greece
June 1983,1.6008916,Greece
July 1983,1.0388799,Greece
August 1983,-0.03118813,Greece
September 1983,0.24250698,Greece
October 1983,-1.0901077,Greece
November 1983,-0.14434385,Greece
December 1983,2.700615,Greece
January 1984,2.4018812,Greece
February 1984,3.1764774,Greece
March 1984,4.3914623,Greece
April 1984,4.3942904,Greece
May 1984,1.7841845,Greece
June 1984,0.48175812,Greece
July 1984,0.24435544,Greece
August 1984,0.9832485,Greece
September 1984,0.16641569,Greece
October 1984,-1.6058439,Greece
November 1984,-1.6379747,Greece
December 1984,-4.1785936,Greece
January 1985,-0.47641277,Greece
February 1985,-3.2818089,Greece
March 1985,-1.1317697,Greece
April 1985,-0.9006815,Greece
May 1985,-0.876667,Greece
June 1985,-0.9777472,Greece
July 1985,-0.9465252,Greece
August 1985,-0.65483654,Greece
September 1985,-0.9878628,Greece
October 1985,-1.6237377,Greece
November 1985,2.637557,Greece
December 1985,-2.5627465,Greece
January 1986,0.24588871,Greece
February 1986,4.8057966,Greece
March 1986,2.605195,Greece
April 1986,0.64907694,Greece
May 1986,0.8674903,Greece
June 1986,1.1057868,Greece
July 1986,0.41208315,Greece
August 1986,0.048938274,Greece
September 1986,-0.73167956,Greece
October 1986,-0.5799761,Greece
November 1986,-2.488548,Greece
December 1986,-4.4450197,Greece
January 1987,-2.3215075,Greece
February 1987,-2.8591228,Greece
March 1987,-0.09802914,Greece
April 1987,1.8453307,Greece
May 1987,-0.08535528,Greece
June 1987,-0.30794358,Greece
July 1987,-0.32864904,Greece
August 1987,-0.3004117,Greece
September 1987,-1.0018125,Greece
October 1987,0.20514607,Greece
November 1987,1.8650775,Greece
December 1987,-0.1253171,Greece
January 1988,-1.6034908,Greece
February 1988,-1.7744784,Greece
March 1988,-0.57184505,Greece
April 1988,-1.2457824,Greece
May 1988,-1.3478355,Greece
June 1988,-0.4138279,Greece
July 1988,-0.8442023,Greece
August 1988,-0.65607,Greece
September 1988,-0.825739,Greece
October 1988,-1.7698557,Greece
November 1988,1.1456037,Greece
December 1988,-0.88504076,Greece
January 1989,-3.9479756,Greece
February 1989,-5.504078,Greece
March 1989,-4.4075327,Greece
April 1989,-4.5242033,Greece
May 1989,-2.1123614,Greece
June 1989,-0.9443922,Greece
July 1989,-0.6760062,Greece
August 1989,-0.8543662,Greece
September 1989,-1.0541636,Greece
October 1989,-0.39070582,Greece
November 1989,-1.775234,Greece
December 1989,-4.002454,Greece
January 1990,-5.7117352,Greece
February 1990,-6.86469,Greece
March 1990,-7.4758873,Greece
April 1990,-4.4498253,Greece
May 1990,-3.4015675,Greece
June 1990,-2.2503839,Greece
July 1990,-1.8046495,Greece
August 1990,-0.9718572,Greece
September 1990,-1.3077188,Greece
October 1990,-1.6871767,Greece
November 1990,-2.0897982,Greece
December 1990,5.089011,Greece
January 1991,-0.42656994,Greece
February 1991,0.1455698,Greece
March 1991,-1.3218417,Greece
April 1991,0.70127535,Greece
May 1991,1.3676715,Greece
June 1991,-0.43896008,Greece
July 1991,0.7932422,Greece
August 1991,0.2895434,Greece
September 1991,-0.6043037,Greece
October 1991,-0.7130947,Greece
November 1991,-0.6515732,Greece
December 1991,-4.2470984,Greece
January 1992,-5.845235,Greece
February 1992,-6.8630147,Greece
March 1992,-6.6054244,Greece
April 1992,-2.2068396,Greece
May 1992,-2.6546967,Greece
June 1992,-0.8278191,Greece
July 1992,-0.9222009,Greece
August 1992,-1.2160825,Greece
September 1992,-1.5067517,Greece
October 1992,-1.4372243,Greece
November 1992,-2.0206652,Greece
December 1992,-2.9762807,Greece
January 1993,-4.630515,Greece
February 1993,-5.6101894,Greece
March 1993,-4.5807767,Greece
April 1993,-3.991492,Greece
May 1993,-1.2654324,Greece
June 1993,-2.103868,Greece
July 1993,-1.7338121,Greece
August 1993,-1.2902418,Greece
September 1993,-1.5185997,Greece
October 1993,-2.2362332,Greece
November 1993,-0.7038374,Greece
December 1993,-1.7013535,Greece
January 1994,-0.5183449,Greece
February 1994,0.61653805,Greece
March 1994,-1.80615,Greece
April 1994,-0.70998573,Greece
May 1994,-1.4729185,Greece
June 1994,-1.469399,Greece
July 1994,-0.5398195,Greece
August 1994,-0.8285496,Greece
September 1994,-1.4549174,Greece
October 1994,0.42271066,Greece
November 1994,-0.23344898,Greece
December 1994,-0.19826078,Greece
January 1995,2.807311,Greece
February 1995,-0.47053337,Greece
March 1995,-0.24000263,Greece
April 1995,-0.34136343,Greece
May 1995,-0.42547703,Greece
June 1995,-0.9918113,Greece
July 1995,0.163275,Greece
August 1995,0.11868334,Greece
September 1995,0.46656966,Greece
October 1995,-1.7567011,Greece
November 1995,-1.1439834,Greece
December 1995,-0.31573963,Greece
January 1996,-0.39187574,Greece
February 1996,1.550662,Greece
March 1996,1.192193,Greece
April 1996,1.9504781,Greece
May 1996,0.889534,Greece
June 1996,-0.3246889,Greece
July 1996,-0.49104214,Greece
August 1996,0.013888359,Greece
September 1996,1.4013128,Greece
October 1996,0.22395515,Greece
