,+5% population,0.5K temperature,+5% precipitation,+5% EVI,+5% LWE thickness,+5% discharge,Model,Hotspot
117,0.27857366188772903,0.36887101507194786,0.4356935511752239,0.32023527541571895,0.3651055713103619,0.36463447648684344,0.3651055177395297,USHighPlain
118,0.3023845467901993,0.39259690367382927,0.456182185787251,0.3463408608349361,0.38906014095474317,0.388290507639109,0.38906009311844114,USHighPlain
119,0.3565297275565056,0.4468426780105481,0.5133201099230849,0.4002516995457728,0.4432276711701808,0.44252206081231105,0.443227628454552,USHighPlain
120,0.37321752781211637,0.4631976284179069,0.5383570032060547,0.4183172493243086,0.4599695927173464,0.4586813322161758,0.45996955457424415,USHighPlain
121,0.29994569921513237,0.3894405048823687,0.46426029678338016,0.34908022848725634,0.3864208401000191,0.3849676757008053,0.38642080603997403,USHighPlain
122,0.18885486337727442,0.27817367823889594,0.34635968059712935,0.2337120771891441,0.2753202411593867,0.2738208039036064,0.27532021074532487,USHighPlain
123,0.10116132450007631,0.19012993397724953,0.2524389324153379,0.14763971872101966,0.187447382730061,0.18610845386874864,0.18744735557169534,USHighPlain
124,0.03523155150262247,0.12390358107041377,0.18188929586629377,0.08547876555516176,0.1214308500818636,0.12020361756945885,0.12143082583068576,USHighPlain
125,-0.008787290496829803,0.07940075813312308,0.13328551054530702,0.044439687181099474,0.07687110686663401,0.0756142863961411,0.07687108521144181,USHighPlain
126,-0.05312075369445335,0.03516382926701278,0.08591427441775745,0.0031601887410442897,0.03234154223189267,0.03093360086304109,0.03234152289479686,USHighPlain
127,-0.09345847420195774,-0.0051644919998756755,0.043126933582555926,-0.03555609805308291,-0.008248876416428796,-0.009594557464499998,-0.008248893683570513,USHighPlain
128,-0.08929967311431408,-0.001581908367912055,0.045610685421551445,-0.031822946556850695,-0.0044203782405456415,-0.005683731027724237,-0.0044203936593130155,USHighPlain
129,-0.05258686655450262,0.03467328178340523,0.08136716489244722,0.0025503058405136336,0.031788172863490116,0.030497760401533958,0.03178815909523647,USHighPlain
130,0.02434717574122658,0.11206758576601539,0.15742932083180783,0.07841313114382764,0.10879521328207709,0.10737891669229915,0.10879520098765649,USHighPlain
131,0.04916976828724584,0.13711186622214822,0.18416994283829102,0.10113441440956183,0.13357833477727254,0.13182953442608025,0.13357832379891765,USHighPlain
132,0.05713774648486014,0.1443725073583899,0.2047539742048008,0.10882401281364706,0.14098779196033062,0.13904330665877174,0.1409877821571619,USHighPlain
133,0.07470127036703134,0.16102967818830738,0.23836968958164118,0.12769020835519163,0.157843272063253,0.15581211138938067,0.15784326330947174,USHighPlain
134,0.04526762643751758,0.13115284640389624,0.21157111943807816,0.0988615305058429,0.12767272240160787,0.12537151661798573,0.12767271458488183,USHighPlain
135,0.07245982738286649,0.15775347512223314,0.23404859752688312,0.11988905945493,0.15410224521150662,0.15184596817455898,0.1541022382315278,USHighPlain
136,0.14058071452375276,0.22560769766645028,0.3031968416079869,0.18058803029065684,0.22185606077778286,0.21975275771925418,0.22185605454498103,USHighPlain
137,0.17585676096519975,0.2602699125194068,0.34447302109743916,0.21722596890952728,0.2562810539265876,0.2543020731825616,0.25628104836098076,USHighPlain
138,0.2183813547615594,0.30167217181878403,0.38906188763420757,0.25695415581177206,0.2978363860044442,0.29569686635567627,0.29783638103461185,USHighPlain
139,0.23867750859000325,0.3215149851746315,0.4056572500157436,0.2773037378047607,0.31758099857102917,0.3160235709819641,0.3175809941331962,USHighPlain
140,0.20820853044918386,0.2896228358133166,0.36726566759747226,0.24551526635713805,0.2857822790441087,0.2844677387491381,0.28578227508132703,USHighPlain
141,0.1650688840819643,0.24543776496447967,0.3169684376185591,0.20212966428634926,0.241769199565937,0.2404302933424476,0.24176919602735425,USHighPlain
142,0.14467921861166455,0.22473159610781113,0.29318786895829807,0.18386089143367856,0.2209135633955961,0.21943265514401378,0.22091356023580366,USHighPlain
143,0.10123323642683613,0.18011962597752929,0.24441594400657596,0.13983018225552835,0.17652821552433473,0.17469015561506063,0.17652821270278463,USHighPlain
