Coefficient;Value;Std Error;t-value;p-value;Significance;Hotspot
alpha_7;0.228;0.0127;17.9366;0.0;***;Indus
alpha_8;0.0475;0.044;1.0795;0.2828;;Indus
alpha_9;0.2328;0.06;3.88;0.0002;***;Indus
alpha_10;0.7883;0.0529;14.8972;0.0;***;Indus
alpha_11;0.5679;0.0828;6.857;0.0;***;Indus
alpha_12;1.7224;0.0713;24.161;0.0;***;Indus
alpha_13;0.4134;0.0302;13.683;0.0;***;Indus
alpha_14;0.6515;0.0065;99.5684;0.0;***;Indus
alpha_15;1.1362;0.0401;28.3631;0.0;***;Indus
alpha_16;1.4036;0.0826;16.983;0.0;***;Indus
alpha_17;-0.0276;0.0634;-0.4359;0.6638;;Indus
alpha_18;0.4044;0.0612;6.6132;0.0;***;Indus
alpha_19;0.0507;0.0137;3.7002;0.0003;***;Indus
alpha_20;0.7423;0.0849;8.7396;0.0;***;Indus
alpha_21;-0.2944;0.1099;-2.6792;0.0085;***;Indus
alpha_0;0.0424;0.0296;1.4312;0.1553;;Ganges
alpha_1;0.8719;0.066;13.2081;0.0;***;Ganges
alpha_2;0.27;0.0355;7.6098;0.0;***;Ganges
alpha_3;-0.6764;0.0317;-21.3099;0.0;***;Ganges
alpha_4;0.4893;0.0537;9.1094;0.0;***;Ganges
alpha_5;0.2041;0.0243;8.4136;0.0;***;Ganges
alpha_6;-0.0852;0.0402;-2.1199;0.0363;**;Ganges
alpha_7;0.0888;0.0199;4.4596;0.0;***;Ganges
alpha_8;0.2101;0.0261;8.0373;0.0;***;Ganges
alpha_9;0.5341;0.0384;13.9148;0.0;***;Ganges
alpha_10;0.6229;0.105;5.9331;0.0;***;Ganges
alpha_11;-0.6611;0.1208;-5.4712;0.0;***;Ganges
alpha_12;-0.3791;0.1305;-2.9044;0.0045;***;Ganges
alpha_13;0.3796;0.0311;12.1913;0.0;***;Ganges
alpha_14;0.8271;0.0048;170.568;0.0;***;Ganges
alpha_15;-0.8029;0.0466;-17.238;0.0;***;Ganges
alpha_16;4.293;0.1219;35.2185;0.0;***;Ganges
alpha_17;-0.8381;0.0828;-10.1175;0.0;***;Ganges
alpha_18;0.2652;0.0263;10.096;0.0;***;Ganges
alpha_19;0.0631;0.0232;2.7221;0.0076;***;Ganges
alpha_20;-1.4068;0.0928;-15.1529;0.0;***;Ganges
alpha_21;-0.6408;0.0606;-10.5826;0.0;***;Ganges
alpha_0;0.0663;0.0176;3.772;0.0003;***;Turkey
alpha_1;-0.2264;0.0826;-2.7416;0.0072;***;Turkey
